,Lp,code,url,title,rooms,price,price_m2,area,district
0,1,44lPr,https://www.otodom.pl/oferta/mieszkanie-38-1m-2-komorka-lokatorska-7-9m2-wilno-ID44lPr.html#c89760baae,"Mieszkanie 38,1m 2 +komórka lokatorska 7,9m2 WILNO",2,420000.0,11024.0,38.1,TARGÓWEK
1,2,41amC,https://www.otodom.pl/oferta/port-67-ID41amC.html#c89760baae,Port 67,3,,,66.93,PRAGA-PÓŁNOC
2,3,42baq,https://www.otodom.pl/oferta/niepowtarzalny-apartament-na-wilanowie-z-ogrodem-ID42baq.html#c89760baae,"Niepowtarzalny Apartament na Wilanowie, z ogrodem!",4,1385000.0,13850.0,100.0,WILANÓW
3,4,44rv3,https://www.otodom.pl/oferta/3-pokoje-blisko-do-centrum-okazja-ID44rv3.html#65ef490b31,3 pokoje blisko do centrum Okazja,3,549000.0,10558.0,52.0,ŚRÓDMIEŚCIE
4,5,44rv2,https://www.otodom.pl/oferta/4-5-pokoi-dla-rodziny-dskonala-lokalizacja-b-cent-ID44rv2.html#65ef490b31,4-5 pokoi dla Rodziny dskonała lokalizacja -b.Cent,4,979000.0,9790.0,100.0,ŚRÓDMIEŚCIE
5,6,44rv0,https://www.otodom.pl/oferta/nowy-apartament-w-centrum-z-tarasem-ID44rv0.html#65ef490b31,Nowy Apartament w Centrum z Tarasem,5,1135000.0,12611.0,90.0,ŚRÓDMIEŚCIE
6,7,44rwZ,https://www.otodom.pl/oferta/apartament-w-budynku-premium-xx-pietro-z-widokiem-ID44rwZ.html#65ef490b31,Apartament w budynku Premium XX piętro z Widokiem,4,980000.0,10208.0,96.0,WOLA
7,8,44rwX,https://www.otodom.pl/oferta/nowa-kawalerka-najlepsza-oferta-na-woli-okazja-ID44rwX.html#65ef490b31,Nowa kawalerka Najlepsza Oferta na Woli Okazja !,1,326000.0,11051.0,29.5,WOLA
8,9,44rwW,https://www.otodom.pl/oferta/mini-apartament-blisko-centrum-na-iwestycje-ID44rwW.html#65ef490b31,Mini Apartament blisko centrum na iwestycje !,1,199000.0,11706.0,17.0,WOLA
9,10,44rwU,https://www.otodom.pl/oferta/funkcjonalny-rozklad-3-pokoje-10-600-zl-m2-ID44rwU.html#65ef490b31,Funkcjonalny Rozkład 3 pokoje= 10 600 zł/m2,3,650000.0,10484.0,62.0,WOLA
10,11,44rwT,https://www.otodom.pl/oferta/oferta-idealna-dla-inwestorow-pod-wynajem-ID44rwT.html#65ef490b31,Oferta idealna dla Inwestorów pod Wynajem,2,320000.0,8205.0,39.0,WOLA
